Australia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2
Austria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Canada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2
Czech Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2
Estonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Finland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
France,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,2,2,3,4,4,15
Germany,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,3,4
Greece,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,4,6
Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2
Israel,0,0,0,0,0,3,3,3,3,4,4,4,5,6,6,6,6,7,8,11,20
Italy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2
Japan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Norway,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Slovenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Spain,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,3,5,9,10
Sweden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Switzerland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Turkey,1,1,3,3,4,4,5,7,7,7,8,8,8,8,9,27,32,37,46,109,141
United Kingdom,0,1,2,2,2,2,3,4,4,6,6,9,10,14,14,15,16,16,18,23,25
United States,0,0,0,0,0,1,1,1,1,2,2,4,4,5,5,6,9,11,14,17,25
