Country,Firearm_Attacks
Pakistan,4333
Iraq,4193
Afghanistan,3772
India,3128
Philippines,2612
Nigeria,2033
Thailand,1488
Somalia,1350
Yemen,1078
Colombia,767
Libya,748
Russia,719
Egypt,655
Algeria,583
Sudan,563
Turkey,475
West Bank and Gaza Strip,408
Democratic Republic of the Congo,354
Sri Lanka,333
Ukraine,301
Kenya,237
Mali,220
Indonesia,219
Nepal,210
Syria,192
United Kingdom,192
Lebanon,181
Burundi,169
Central African Republic,168
Mexico,125
South Sudan,123
Mozambique,121
Bangladesh,111
United States,108
Uganda,106
Israel,99
South Africa,92
Saudi Arabia,90
Yugoslavia,87
Cameroon,84
Angola,69
Peru,68
Iran,61
Kosovo,60
Myanmar,60
Niger,52
